Make,Model,Battery Wh,Max PV Watts,W to Wh Ratio,Min PV Voltage,Max PV Voltage,Max PV Amps,Inverter Watts,Max AC Input Amps,Max AC Input Watts,Full Grid Charge Hours,80 Per Grid Charge Hours,AC Charger Watts,Estimated Minimum Grid Charge Efficiency,Real Minimum Grid Charge Efficiency,Inverter Efficiency,Battery Type,Retail Price (11/12/2023),Full Price (11/20/2023),Retail Price (12/30/2023),Retail Price (1/11/2024),Retail Price (1/26/2024),Bypass Mode,App Control,Unregulated Output,Warranty Years,Cycles,DoD,Lifespan,Link,Notes
Lion Energy,Energy Summit Bluetooth,665,150,0.2255639098,13,22,,530,10,150,4,,,1.108333333,,90,LiFePO4,499.00,499,499.00,,499,FALSE,FALSE,FALSE,5,3500,80,,https://lionenergy.com/products/summit-kit,
Lion Energy,Trek,99.9,40,0.4004004004,12,,,150,,,1.916666667,,,,,86,LiFePO4,149.00,149,149.00,,149,FALSE,FALSE,FALSE,5,2000,80,,https://lionenergy.com/products/lion-trek,
Bluetti,EB3A,268,200,0.7462686567,,,8.5,600,,,1.5,,,,,90,LiFePO4,209.00,299,209.00,,209,FALSE,FALSE,FALSE,2,2500,80,,https://www.bluettipower.com/products/bluetti-eb3a-portable-power-station,
Bluetti,EB55,537,200,0.3724394786,12,28,8,700,,200,3,,,0.895,,90,LiFePO4,399.00,399,399.00,,399,FALSE,FALSE,FALSE,2,2500,80,,https://www.bluettipower.com/products/bluetti-eb55-537wh-700w-portable-power-station,
Bluetti,EB70S,716,200,0.2793296089,,,,800,,,4,,,,,90,LiFePO4,469.00,499,499.00,,449,FALSE,FALSE,FALSE,,2500,80,,https://www.bluettipower.com/products/eb70s-716wh-800w-portable-power-station-best-solar-generator-for-camping,
Bluetti,AC60,403,200,0.4962779156,12,28,8,600,,600,1,,,0.6716666667,,90,LiFePO4,599.00,699,649.00,,649,TRUE,TRUE,FALSE,,3000,80,,https://www.bluettipower.com/products/ac60,
Bluetti,AC60P,504,200,0.3968253968,12,28,8,600,,600,1,,,0.84,,90,LiFePO4,699,799,699.00,,749,TRUE,TRUE,FALSE,,3000,80,,https://www.bluettipower.com/products/ac60?variant=44373869134043,
Bluetti,AC180,1152,500,0.4340277778,12,60,10,1800,,1440,,0.75,,#DIV/0!,,90,LiFePO4,669.00,999,799,,649,TRUE,TRUE,FALSE,,3500,80,,https://www.bluettipower.com/products/ac180,Charge time is based on 80% charge specified by manufacturer.
Bluetti,AC180P,1440,500,0.3472222222,12,60,10,1800,,1440,,0.75,,#DIV/0!,,90,LiFePO4,1099,1299,999.00,,999,TRUE,TRUE,FALSE,,3500,80,,https://www.bluettipower.com/products/ac180?variant=44373849899227,
Bluetti,AC200P,2000,700,0.35,35,150,12,2000,,500,4.5,,,0.8888888889,,90,LiFePO4,1199.00,1199,1199.00,,1199,FALSE,FALSE,FALSE,4,3500,80,,https://www.bluettipower.com/products/bluetti-ac200p-2000wh-2000w-portable-power-station,
Bluetti,AC200MAX Expandable,2048,900,0.439453125,,,,2200,,500,5.5,,,0.7447272727,,90,LiFePO4,1349.00,1599,1599.00,,1119,FALSE,FALSE,FALSE,,3500,80,,https://www.bluettipower.com/products/ac200max-power-station-new,
Bluetti,AC200L,2048,1200,0.5859375,12,145,15,2400,,2400,1.5,0.75,,,,90,LiFePO4,,,,,1699,TRUE,TRUE,FALSE,5,3000,80,10,https://www.bluettipower.com/products/ac200l,
